French Spaniel,https://bigd.big.ac.cn/idog/images/breed_image_thumb/PointerGLH.jpg
German Longhaired Pointer,https://bigd.big.ac.cn/idog/images/breed_image_thumb/GermanPinscher.jpg
German Pinscher,https://bigd.big.ac.cn/idog/images/breed_image_thumb/German_Shepherd_Dog.jpg
German Shepherd Dog,https://bigd.big.ac.cn/idog/images/breed_image_thumb/German_Shorthaired_Pointer.jpg
German Shorthaired Pointer,https://bigd.big.ac.cn/idog/images/breed_image_thumb/German_Spitz.jpg
German Spitz,https://bigd.big.ac.cn/idog/images/breed_image_thumb/German_Wirehaired_Pointer.jpg
German Wirehaired Pointer,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Giant_Schnauzer.jpg
Giant Schnauzer,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Glen_of_Imaal_Terrier.jpg
Glen of Imaal Terrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Golden_Retriever.jpg
Golden Retriever,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Gordon_Setter.jpg
Gordon Setter,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Grand_Basset_Griffon_Vendeen.jpg
Grand Basset Griffon Vendeen,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Great_Dane.jpg
Great Dane,https://bigd.big.ac.cn/idog/images/breed_image_thumb/GreatPyrenees.jpg
Great Pyrenees,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Greater_Swiss_Mountain_Dog.jpg
Greater Swiss Mountain Dog,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Greyhound.jpg
Greyhound,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Hamiltonstovare.jpg
Hamiltonstovare,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Harrier.jpg
Harrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Havanese.jpg
Havanese,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Hokkaido.jpg
Hokkaido,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Hovawart.jpg
Hovawart,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Ibizan_Hound.jpg
Ibizan Hound,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Icelandic_Sheepdog.jpg
Icelandic Sheepdog,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Irish_Red_and_White_Setter.jpg
Irish Red and White Setter,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Irish_Setter.jpg
Irish Setter,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Irish_Terrier.jpg
Irish Terrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Irish_Water_Spaniel.jpg
Irish Water Spaniel,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Irish_Wolfhound.jpg
Irish Wolfhound,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Italian_Greyhound.jpg
Italian Greyhound,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Jagdterrier.jpg
Jagdterrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Japanese_Chin.jpg
Japanese Chin,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Jindo.jpg
Jindo,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Kai_Ken.jpg
Kai Ken,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Karelian_Bear_Dog.jpg
Karelian Bear Dog,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Keeshond.jpg
Keeshond,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Kerry_Blue_Terrier.jpg
Kerry Blue Terrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Kishu_Ken.jpg
Kishu Ken,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Komondor.jpg
Komondor,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Kromfohrlander.jpg
Kromfohrlander,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Kuvasz.jpg
Kuvasz,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Labrador_Retriever.jpg
Labrador Retriever,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Lagotto_Romagnolo.jpg
Lagotto Romagnolo,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Lakeland_Terrier.jpg
Lakeland Terrier,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Lancashire_Heeler.jpg
Lancashire Heeler,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Lapponian_Herder.jpg
Lapponian Herder,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Leonberger.jpg
Leonberger,https://bigd.big.ac.cn/idog/images/breed_image_thumb/Lhasa_Apso.jpg
